
"HINC-01. Selected Characteristics of Households, by Total Money Income in 2009"

"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/apsd/techdoc/cps/cpsmar10.pdf [http://www.census.gov/apsd/techdoc/cps/cpsmar10.pdf] [PDF]."
"Source: U.S. Census Bureau, Current Population Survey, 2010 Annual Social and Economic Supplement."
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income and Gini indexes are calculated using $2,500 income intervals. Beginning with 2009 income data, the Census Bureau expanded the income intervals used to calculate medians and Ginis to $250,000 or more. Medians falling in the upper open-ended interval are plugged with $250,000. Before 2009, the upper open-ended interval was $100,000 and a plug of $100,000 was used)"

,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999"
Married-couple families,"58,410",623,595,"1,095","1,541","2,202","2,480","2,463","2,588","2,615","2,312","2,632"
"Male householder, nsp","5,580",167,166,251,317,334,350,363,357,310,284,303
"Female householder, nsp","14,843",896,"1,010","1,227","1,304","1,270","1,076","1,062",955,754,705,612
Nonfamily households,"38,705","2,060","3,052","4,186","3,762","3,292","2,727","2,481","2,132","2,001","1,593","1,599"
Male householder,"18,263",981,"1,019","1,462","1,367","1,399","1,266","1,217","1,079","1,099",781,859
Living alone,"13,971",884,935,"1,333","1,187","1,208","1,035","1,012",858,849,581,656
Female householder,"20,442","1,078","2,033","2,724","2,395","1,893","1,461","1,263","1,053",902,811,740
Living alone,"17,428",999,"1,946","2,619","2,241","1,723","1,318","1,114",878,760,626,584
AGE OF HOUSEHOLDER,,,,,,,,,,,,
Under 65 years,"92,268","3,172","3,362","4,043","4,103","4,698","4,479","4,632","4,430","4,414","3,946","4,171"
15 to 24 years,"6,233",547,467,518,531,504,476,406,385,375,294,285
25 to 34 years,"19,257",693,687,836,881,"1,179","1,115","1,180",999,"1,025",987,962
35 to 44 years,"21,519",567,565,734,848,957,976,987,"1,039",996,948,"1,020"
45 to 54 years,"24,871",761,832,935,948,"1,037",932,"1,038","1,055","1,060",939,"1,098"
55 to 64 years,"20,387",604,812,"1,019",895,"1,021",979,"1,022",952,959,777,807
65 years and over,"25,270",574,"1,461","2,716","2,821","2,401","2,154","1,738","1,603","1,266",948,975
65 to 74 years,"13,164",267,651,"1,071","1,080","1,022","1,000",845,834,695,583,567
75 years and over,"12,106",307,809,"1,645","1,741","1,379","1,154",893,769,571,365,408
Mean age of householder,50.2,46.0,52.7,56.6,56.2,53.4,52.8,51.1,51.0,49.6,48.2,48.5
SIZE OF HOUSEHOLD,,,,,,,,,,,,
One person,"31,399","1,884","2,881","3,951","3,427","2,931","2,352","2,126","1,736","1,610","1,207","1,240"
Two people,"39,487",892,"1,005","1,396","1,900","2,306","2,320","2,263","2,290","2,108","1,770","1,883"
Three people,"18,638",416,439,656,669,840,865,830,908,813,850,830
Four people,"16,122",328,276,426,511,495,622,629,565,612,611,680
Five people,"7,367",149,123,211,218,302,289,326,330,324,268,308
Six people,"2,784",50,64,75,118,128,119,123,133,125,120,136
Seven people or more,"1,740",29,35,44,80,97,65,72,72,89,69,70
Mean size of household,2.59,2.03,1.80,1.84,2.02,2.16,2.26,2.35,2.43,2.47,2.58,2.61
NUMBER OF EARNERS,,,,,,,,,,,,
No earners,"26,172","2,778","3,177","3,956","3,498","2,680","2,176","1,608","1,323",974,692,680
One earner,"43,712",882,"1,466","2,477","2,850","3,547","3,359","3,366","3,039","2,954","2,328","2,296"
Two earners or more,"47,654",86,179,326,575,871,"1,098","1,396","1,671","1,752","1,874","2,171"
2 earners,"38,302",85,170,299,540,780,"1,006","1,249","1,481","1,522","1,611","1,869"
3 earners,"7,023",1,9,25,34,70,86,127,165,200,229,257
4 earners or more,"2,330",0,0,2,1,22,7,20,24,30,34,45
Mean number of earners,1.32,0.28,0.38,0.47,0.60,0.78,0.87,1.02,1.12,1.21,1.34,1.39
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,,,
Total,"117,538","3,747","4,823","6,759","6,924","7,099","6,633","6,370","6,033","5,680","4,894","5,147"
Worked,"78,888",844,"1,433","2,306","2,840","3,658","3,712","3,902","3,891","3,965","3,528","3,839"
Worked at f-t jobs,"65,214",372,676,"1,331","1,871","2,662","2,791","3,130","3,232","3,318","2,964","3,301"
50 weeks or more,"54,135",121,225,697,"1,230","1,898","2,175","2,405","2,619","2,707","2,464","2,752"
27 to 49 weeks,"6,520",68,155,280,308,435,345,420,342,381,280,351
26 weeks or less,"4,558",184,296,354,332,330,272,305,271,230,220,198
Worked at p-t jobs,"13,674",471,757,975,970,995,922,772,659,648,564,538
50 weeks or more,"7,618",86,305,521,524,534,563,440,363,396,314,335
27 to 49 weeks,"2,836",70,195,208,204,245,180,162,126,113,119,91
26 weeks or less,"3,220",316,258,247,242,216,179,170,169,139,132,112
Did not work,"38,650","2,903","3,390","4,453","4,083","3,441","2,920","2,468","2,142","1,715","1,366","1,307"
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,
"Total, 25 yrs & over","111,305","3,199","4,356","6,241","6,393","6,595","6,156","5,964","5,649","5,306","4,600","4,861"
Less than 9th grade,"5,091",246,658,849,594,537,422,311,243,198,158,172
"9th to 12th grade, no diploma","8,356",462,828,"1,093",879,824,672,603,474,371,338,289
"High School graduate
(includes equivalency)","32,770","1,106","1,517","2,221","2,546","2,490","2,343","2,165","2,136","1,816","1,510","1,519"
"Some college, no degree","19,938",562,720,"1,011","1,130","1,244","1,139","1,198","1,172","1,150",891,922
Associate Degree,"10,531",218,254,390,509,531,561,539,570,519,445,544
Bachelor's Degree or more,"34,618",606,379,677,734,968,"1,020","1,148","1,053","1,252","1,258","1,415"
Bachelor's Degree,"22,134",423,296,513,512,740,745,865,758,915,881,977
Master's Degree,"9,000",142,63,131,177,172,213,212,219,263,298,350
Professional Degree,"1,746",25,9,17,30,35,40,50,32,35,44,40
Doctorate Degree,"1,738",16,11,16,15,21,22,20,43,39,36,48
TENURE,,,,,,,,,,,,
Owner occupied,"78,779","1,448","1,661","3,061","3,580","3,882","3,790","3,732","3,726","3,633","3,226","3,412"
Renter occupied,"37,080","2,137","2,981","3,510","3,201","3,090","2,721","2,545","2,209","1,988","1,600","1,662"
"Occupier paid no cash
rent","1,679",162,181,188,144,127,122,93,98,59,68,73

,"$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999"
All Races,,,,,,,,,,,,
All Households,"4,297","4,542","3,598","3,696","3,324","3,023","2,562","2,511","2,129","2,446","1,912","1,699"
TYPE OF RESIDENCE,,,,,,,,,,,,
Inside metro statistical areas,"3,574","3,793","3,023","3,089","2,841","2,597","2,192","2,154","1,803","2,155","1,679","1,503"
Inside principal cities,"1,387","1,396","1,101","1,093","1,024",953,748,706,557,758,535,472
Outside principal cities,"2,188","2,397","1,922","1,996","1,816","1,643","1,444","1,448","1,246","1,397","1,144","1,031"
Outside metro statistical areas (4),722,749,574,607,484,427,370,356,326,291,233,197
REGION/DIVISIONS,,,,,,,,,,,,
Northeast,715,757,583,678,606,510,478,467,425,439,395,339
New England,179,177,168,176,178,141,140,124,139,139,121,108
Middle Atlantic,536,580,416,502,428,369,339,343,286,300,273,230
Midwest,"1,021","1,129",867,862,759,771,600,576,477,551,419,383
East North Central,694,797,582,591,534,524,403,395,312,358,280,257
West North Central,326,332,285,270,225,248,197,181,165,193,139,126
South,"1,609","1,628","1,280","1,338","1,159","1,069",904,921,760,842,600,544
South Atlantic,767,872,680,724,628,619,493,500,403,466,340,306
East South Central,283,262,173,189,191,124,132,143,110,138,66,85
West South Central,558,495,427,425,339,326,279,279,247,238,194,153
West,952,"1,027",867,818,801,673,580,546,466,614,499,434
Mountain,282,356,265,279,253,219,188,173,141,183,146,131
Pacific,670,671,602,539,548,454,392,373,326,431,352,302
TYPE OF HOUSEHOLD,,,,,,,,,,,,
Family households,"3,192","3,288","2,782","2,824","2,596","2,431","2,106","2,068","1,782","2,006","1,618","1,426"
Married-couple families,"2,310","2,563","2,236","2,270","2,118","2,040","1,781","1,754","1,511","1,764","1,410","1,269"
"Male householder, nsp",284,267,193,199,173,146,113,100,102,108,89,45
"Female householder, nsp",598,458,353,355,304,245,211,214,169,135,120,112
Nonfamily households,"1,105","1,254",816,872,729,592,457,442,347,440,294,273
Male householder,558,667,463,506,441,384,240,276,194,292,192,162
Living alone,404,469,279,318,278,208,136,173,107,167,99,85
Female householder,547,588,353,366,288,209,217,166,153,148,102,110
Living alone,409,427,253,256,171,129,134,98,75,91,65,72
AGE OF HOUSEHOLDER,,,,,,,,,,,,
Under 65 years,"3,567","3,819","2,936","3,200","2,895","2,699","2,244","2,237","1,842","2,197","1,699","1,528"
15 to 24 years,208,196,130,137,102,89,49,60,51,64,44,40
25 to 34 years,823,930,650,750,605,572,424,442,389,418,287,255
35 to 44 years,861,877,703,778,739,728,596,584,486,571,441,372
45 to 54 years,912,"1,002",831,890,841,779,697,651,548,708,526,519
55 to 64 years,763,814,621,644,608,530,478,499,367,436,401,341
65 years and over,730,723,662,496,429,325,318,273,287,249,214,171
65 to 74 years,465,460,443,318,274,220,229,199,185,176,142,109
75 years and over,265,263,219,179,155,105,89,74,102,73,72,62
Mean age of householder,48.1,47.9,48.8,47.2,47.7,46.7,47.9,47.4,47.8,47.1,48.2,48.2
SIZE OF HOUSEHOLD,,,,,,,,,,,,
One person,813,895,531,574,449,336,270,272,182,258,164,157
Two people,"1,580","1,742","1,485","1,388","1,225","1,079",955,917,840,870,755,572
Three people,760,733,620,679,655,648,527,546,464,478,345,366
Four people,633,699,557,628,566,551,476,463,377,515,389,339
Five people,294,310,246,250,268,246,194,206,182,219,163,174
Six people,123,106,96,107,101,107,79,63,48,71,61,51
Seven people or more,94,56,62,71,61,56,61,44,35,36,36,40
Mean size of household,2.79,2.70,2.82,2.86,2.93,3.02,3.04,2.98,3.00,3.03,3.05,3.15
NUMBER OF EARNERS,,,,,,,,,,,,
No earners,432,407,308,232,167,138,117,100,87,94,70,55
One earner,"1,762","1,806","1,225","1,285","1,074",866,628,662,503,770,441,416
Two earners or more,"2,103","2,330","2,064","2,179","2,084","2,019","1,817","1,748","1,539","1,582","1,401","1,228"
2 earners,"1,754","1,968","1,740","1,808","1,676","1,568","1,458","1,382","1,190","1,281","1,086",912
3 earners,274,294,249,303,320,355,286,295,263,216,230,245
4 earners or more,75,67,75,68,88,96,73,71,86,84,85,71
Mean number of earners,1.53,1.55,1.64,1.69,1.77,1.85,1.89,1.88,1.94,1.80,1.96,1.98
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,,,
Total,"4,297","4,542","3,598","3,696","3,324","3,023","2,562","2,511","2,129","2,446","1,912","1,699"
Worked,"3,295","3,561","2,848","2,979","2,725","2,567","2,193","2,140","1,833","2,033","1,671","1,463"
Worked at f-t jobs,"2,822","3,067","2,482","2,577","2,361","2,279","1,933","1,918","1,624","1,791","1,449","1,308"
50 weeks or more,"2,332","2,629","2,121","2,238","2,054","1,974","1,712","1,662","1,443","1,593","1,279","1,160"
27 to 49 weeks,312,294,204,226,186,219,150,159,107,133,131,93
26 weeks or less,178,144,157,114,122,86,70,97,75,65,39,56
Worked at p-t jobs,472,494,367,402,363,288,261,222,208,243,222,155
50 weeks or more,301,263,208,219,209,182,153,126,135,142,139,107
27 to 49 weeks,98,126,77,91,67,50,58,44,32,49,39,24
26 weeks or less,73,106,82,92,87,56,50,53,41,52,44,24
Did not work,"1,002",981,749,717,600,457,369,370,296,412,242,236
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,
"Total, 25 yrs & over","4,089","4,346","3,467","3,559","3,222","2,935","2,513","2,450","2,077","2,382","1,868","1,659"
Less than 9th grade,102,97,81,68,56,30,47,17,40,22,19,25
"9th to 12th grade, no diploma",240,221,158,138,121,106,83,77,68,46,34,31
"High School graduate
(includes equivalency)","1,321","1,259","1,001","1,051",834,733,602,623,498,457,399,351
"Some college, no degree",801,877,725,716,639,583,480,407,362,426,286,245
Associate Degree,426,529,406,357,359,390,342,265,250,261,238,154
Bachelor's Degree or more,"1,199","1,363","1,097","1,230","1,213","1,091",959,"1,061",860,"1,169",892,853
Bachelor's Degree,822,938,752,832,815,680,608,724,518,700,577,537
Master's Degree,303,368,258,294,321,303,307,255,260,340,241,236
Professional Degree,42,23,51,51,32,36,16,47,41,82,23,29
Doctorate Degree,31,34,35,53,45,72,28,35,41,47,51,51
TENURE,,,,,,,,,,,,
Owner occupied,"2,981","3,281","2,724","2,792","2,631","2,425","2,063","2,054","1,808","2,043","1,628","1,444"
Renter occupied,"1,242","1,230",847,875,664,586,487,431,301,393,272,244
"Occupier paid no cash
rent",73,31,27,29,29,12,12,25,20,10,12,11

,"$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999"
All Races,,,,,,,,,,,,
All Households,"1,482","1,428","1,292","1,190",895,894,796,"1,005",660,674,497,518
TYPE OF RESIDENCE,,,,,,,,,,,,
Inside metro statistical areas,"1,292","1,263","1,134","1,086",808,818,720,935,594,632,466,479
Inside principal cities,394,431,371,360,234,248,219,331,185,205,176,156
Outside principal cities,899,833,764,725,574,570,500,604,409,428,290,323
Outside metro statistical areas (4),190,165,157,105,87,75,77,69,65,41,31,39
REGION/DIVISIONS,,,,,,,,,,,,
Northeast,291,311,277,249,223,187,195,217,130,149,93,114
New England,83,88,86,72,69,55,49,60,40,53,29,31
Middle Atlantic,208,223,191,177,153,132,147,156,90,97,64,84
Midwest,369,281,288,228,179,182,143,191,89,128,105,75
East North Central,267,191,197,160,113,128,95,118,55,91,76,48
West North Central,102,90,91,68,66,54,47,73,34,37,29,28
South,553,474,419,396,273,301,271,317,252,203,162,173
South Atlantic,304,277,248,224,177,163,168,200,135,133,74,133
East South Central,74,73,57,56,37,42,42,33,20,16,26,17
West South Central,176,124,114,115,59,96,61,85,96,54,61,23
West,269,362,308,318,220,224,187,280,190,194,137,156
Mountain,73,95,94,79,62,41,44,78,46,58,31,35
Pacific,196,268,214,238,158,183,143,202,144,136,107,121
TYPE OF HOUSEHOLD,,,,,,,,,,,,
Family households,"1,285","1,199","1,088","1,037",795,779,724,869,576,591,445,443
Married-couple families,"1,163","1,112",982,933,711,705,654,800,532,543,393,395
"Male householder, nsp",47,41,44,45,33,30,37,36,17,16,20,21
"Female householder, nsp",75,46,62,58,51,44,33,33,26,32,32,27
Nonfamily households,197,229,204,154,100,115,73,136,84,82,52,75
Male householder,84,147,123,105,72,78,38,91,55,53,24,30
Living alone,33,90,64,60,40,37,9,51,23,30,9,19
Female householder,113,82,81,49,28,36,35,44,30,29,28,45
Living alone,64,43,57,25,16,18,18,32,15,8,13,24
AGE OF HOUSEHOLDER,,,,,,,,,,,,
Under 65 years,"1,336","1,291","1,171","1,061",802,817,707,924,577,631,428,473
15 to 24 years,46,36,20,20,12,11,16,13,10,5,7,4
25 to 34 years,205,224,205,185,118,122,88,118,98,82,38,73
35 to 44 years,368,341,285,273,206,241,184,255,139,152,123,118
45 to 54 years,419,397,334,342,275,256,255,303,183,238,151,154
55 to 64 years,297,293,327,241,191,187,165,235,147,154,110,124
65 years and over,146,138,120,130,93,77,89,81,83,43,69,45
65 to 74 years,98,111,80,100,70,59,68,73,66,28,52,31
75 years and over,49,27,40,30,24,18,22,8,18,15,17,14
Mean age of householder,47.8,47.4,48.4,48.1,48.3,47.9,49.0,48.1,49.2,48.4,50.2,48.5
SIZE OF HOUSEHOLD,,,,,,,,,,,,
One person,96,133,120,85,56,55,27,83,39,38,22,43
Two people,515,474,418,415,293,268,291,306,234,233,177,189
Three people,314,317,276,243,184,230,169,215,143,135,98,99
Four people,334,307,302,270,215,220,195,239,135,168,129,110
Five people,160,130,104,123,79,78,61,107,61,67,45,56
Six people,34,49,41,33,39,24,30,41,23,24,17,11
Seven people or more,29,19,31,22,30,19,23,15,25,8,9,9
Mean size of household,3.19,3.12,3.16,3.18,3.33,3.23,3.34,3.21,3.30,3.24,3.26,3.12
NUMBER OF EARNERS,,,,,,,,,,,,
No earners,51,48,24,37,38,18,26,14,28,17,9,1
One earner,284,309,286,240,153,185,121,307,134,135,73,122
Two earners or more,"1,146","1,071",982,914,704,690,649,684,498,522,414,395
2 earners,822,832,703,662,484,507,467,500,365,374,304,294
3 earners,236,164,196,173,158,123,117,124,79,96,73,68
4 earners or more,89,75,82,79,62,61,66,60,54,52,37,33
Mean number of earners,2.08,1.99,2.08,2.08,2.14,2.08,2.20,1.95,2.09,2.12,2.18,2.11
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,,,
Total,"1,482","1,428","1,292","1,190",895,894,796,"1,005",660,674,497,518
Worked,"1,283","1,266","1,163","1,054",779,801,715,887,562,599,454,466
Worked at f-t jobs,"1,156","1,136","1,020",934,687,706,641,785,509,537,410,418
50 weeks or more,"1,035","1,028",930,822,622,635,583,719,463,499,366,380
27 to 49 weeks,86,75,67,82,43,46,43,40,31,36,32,24
26 weeks or less,35,33,24,30,22,25,15,26,15,2,12,15
Worked at p-t jobs,128,130,143,120,92,95,74,102,52,62,44,48
50 weeks or more,87,98,79,74,57,57,45,61,22,34,30,31
27 to 49 weeks,20,14,36,28,25,19,16,23,7,19,4,8
26 weeks or less,20,18,27,18,10,19,13,19,24,10,10,8
Did not work,199,162,129,136,116,93,82,118,98,74,43,52
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,,,
"Total, 25 yrs & over","1,436","1,392","1,272","1,171",883,882,781,992,650,669,489,514
Less than 9th grade,19,11,4,11,1,4,2,5,7,2,2,2
"9th to 12th grade, no diploma",30,18,17,21,13,14,10,2,6,5,6,7
"High School graduate
(includes equivalency)",276,280,227,199,151,123,110,128,95,59,66,46
"Some college, no degree",226,219,191,195,157,121,140,123,74,83,51,43
Associate Degree,144,163,119,130,90,82,80,68,51,74,34,42
Bachelor's Degree or more,740,703,714,616,470,538,440,667,417,446,331,374
Bachelor's Degree,447,439,411,364,242,306,264,381,246,261,176,226
Master's Degree,220,208,218,197,167,175,133,173,108,132,97,98
Professional Degree,24,23,45,12,27,22,18,57,26,27,25,23
Doctorate Degree,49,33,40,43,34,36,27,57,36,26,34,26
TENURE,,,,,,,,,,,,
Owner occupied,"1,293","1,241","1,132","1,064",786,795,712,914,590,603,438,448
Renter occupied,186,179,154,122,102,99,84,85,67,70,58,69
"Occupier paid no cash
rent",3,8,6,5,7,0,0,6,3,0,0,1

,,,,,,,Median income,,Mean income,
,"$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Value (Dol.),Standard error (Dol.),Value (Dol.),Standard error (Dol.)
All Races,,,,,,,,,,
All Households,445,472,351,318,269,"4,506","49,777",213,"67,976",243
TYPE OF RESIDENCE,,,,,,,,,,
Inside metro statistical areas,423,440,337,289,248,"4,226","51,522",155,"71,013",278
Inside principal cities,137,139,106,88,71,"1,457","44,852",346,"64,278",433
Outside principal cities,286,301,231,202,177,"2,769","56,582",260,"75,408",360
Outside metro statistical areas (4),22,32,14,29,21,280,"40,135",390,"52,382",520
REGION/DIVISIONS,,,,,,,,,,
Northeast,104,134,67,87,75,"1,170","53,073",562,"76,670",720
New England,29,35,27,28,20,370,"58,709","1,092","82,633","1,222"
Middle Atlantic,74,100,40,59,55,800,"51,583",598,"74,487","1,336"
Midwest,88,96,72,68,53,754,"48,877",432,"63,973",451
East North Central,57,71,55,47,33,508,"48,137",534,"63,279",556
West North Central,31,25,17,21,20,247,"50,408",549,"65,520",755
South,137,131,127,96,66,"1,323","45,615",282,"62,687",370
South Atlantic,76,77,72,58,44,771,"47,408",427,"65,000",501
East South Central,16,11,12,8,2,182,"39,958",562,"56,964",983
West South Central,45,44,43,30,20,370,"45,905",521,"61,718",647
West,117,110,85,66,75,"1,259","53,833",544,"73,716",580
Mountain,26,21,22,9,19,315,"50,419",449,"68,550",968
Pacific,91,89,63,57,57,944,"56,232",491,"76,132",708
TYPE OF HOUSEHOLD,,,,,,,,,,
Family households,394,394,307,292,238,"4,038","61,265",189,"79,883",321
Married-couple families,369,376,297,272,223,"3,777","71,830",249,"90,969",400
"Male householder, nsp",15,7,7,7,6,128,"48,084",703,"60,966",960
"Female householder, nsp",10,11,2,13,8,133,"32,597",329,"43,366",397
Nonfamily households,51,78,44,26,31,468,"30,444",171,"43,725",303
Male householder,36,52,31,22,21,294,"36,611",277,"50,398",488
Living alone,16,25,21,3,9,172,"31,595",249,"44,042",552
Female householder,15,26,13,3,10,174,"25,269",210,"37,764",367
Living alone,4,13,2,0,5,86,"22,324",181,"32,643",348
AGE OF HOUSEHOLDER,,,,,,,,,,
Under 65 years,413,425,303,292,239,"4,066","55,821",195,"73,895",290
15 to 24 years,10,8,7,0,7,42,"30,733",421,"40,367",646
25 to 34 years,60,49,29,41,30,405,"50,199",335,"62,064",472
35 to 44 years,97,118,86,76,62,"1,018","61,083",326,"79,355",633
45 to 54 years,130,155,113,84,66,"1,475","64,235",565,"83,770",638
55 to 64 years,115,94,67,91,73,"1,126","56,973",434,"77,512",634
65 years and over,32,47,48,26,30,440,"31,354",226,"46,363",361
65 to 74 years,24,36,38,22,19,356,"38,895",361,"55,575",581
75 years and over,8,11,10,4,12,85,"25,693",237,"36,347",389
Mean age of householder,48.1,48.7,49.3,49.0,49.7,49.9,(X),(X),(X),(X)
SIZE OF HOUSEHOLD,,,,,,,,,,
One person,20,39,23,3,14,258,"26,080",163,"37,715",314
Two people,161,151,125,116,105,"1,477","53,676",361,"70,687",401
Three people,80,97,81,71,53,898,"62,472",515,"80,106",644
Four people,108,121,76,83,67,"1,096","73,071",614,"92,287",781
Five people,51,41,36,27,16,525,"69,680","1,013","89,864","1,212"
Six people,21,10,8,11,6,160,"62,745","1,688","83,221","1,838"
Seven people or more,5,13,1,7,9,93,"64,667","2,094","80,277","1,774"
Mean size of household,3.27,3.19,3.08,3.30,3.16,3.30,(X),(X),(X),(X)
NUMBER OF EARNERS,,,,,,,,,,
No earners,3,11,13,5,16,60,"19,514",130,"26,699",178
One earner,78,71,49,51,24,"1,087","41,133",146,"57,045",374
Two earners or more,364,390,289,262,228,"3,359","82,165",236,"100,672",427
2 earners,244,275,211,203,152,"2,469","78,473",392,"96,766",476
3 earners,72,75,58,32,61,584,"93,835",774,"111,268","1,076"
4 earners or more,48,39,20,27,15,306,"116,673","1,236","132,955","1,960"
Mean number of earners,2.26,2.23,2.13,2.15,2.18,2.07,(X),(X),(X),(X)
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,
Total,445,472,351,318,269,"4,506","49,777",213,"67,976",243
Worked,406,431,318,285,236,"3,956","62,508",226,"81,438",321
Worked at f-t jobs,370,378,289,257,210,"3,512","66,777",226,"85,852",362
50 weeks or more,325,360,244,229,189,"3,220","71,246",223,"90,737",415
27 to 49 weeks,35,12,35,21,14,222,"53,397",668,"69,070",850
26 weeks or less,10,6,11,7,7,69,"38,762",689,"51,847",821
Worked at p-t jobs,36,53,29,28,25,444,"41,914",378,"60,388",625
50 weeks or more,21,31,19,18,10,282,"46,053",634,"64,790",879
27 to 49 weeks,12,12,5,6,12,103,"40,961",954,"60,931","1,391"
26 weeks or less,3,11,5,4,3,59,"34,395","1,039","49,495","1,074"
Did not work,39,41,33,33,33,550,"26,590",158,"40,498",294
EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,,,,,,,,,,
"Total, 25 yrs & over",435,463,344,318,262,"4,465","50,971",145,"69,522",254
Less than 9th grade,6,3,1,6,1,11,"21,635",314,"30,581",474
"9th to 12th grade, no diploma",2,2,1,3,2,43,"25,604",320,"35,310",543
"High School graduate
(includes equivalency)",46,49,37,20,36,327,"39,647",246,"51,052",313
"Some college, no degree",43,54,33,44,35,421,"48,413",483,"61,371",466
Associate Degree,37,26,26,25,21,260,"56,789",530,"68,635",642
Bachelor's Degree or more,301,329,245,220,167,"3,402","82,722",513,"105,957",610
Bachelor's Degree,161,182,120,114,95,"1,568","75,518",425,"94,426",657
Master's Degree,80,88,82,75,42,984,"91,660",789,"114,200","1,289"
Professional Degree,30,20,12,17,20,489,"123,784","3,774","168,322","4,195"
Doctorate Degree,30,39,31,14,10,362,"120,873","2,785","147,475","3,191"
TENURE,,,,,,,,,,
Owner occupied,386,416,319,290,235,"4,093","61,588",189,"80,243",324
Renter occupied,56,52,32,25,32,394,"31,463",167,"43,225",295
